director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,ActionAdventureSci-FiThriller,battleship,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg ActionAdventureSci-FiThriller
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,ActionAdventureSci-FiThriller,jurassic world,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow ActionAdventureSci-FiThriller
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,ActionAdventureFantasyRomance,spider-man 2,J.K. Simmons James Franco Kirsten Dunst Sam Raimi ActionAdventureFantasyRomance
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,ActionAdventureSci-Fi,iron man 3,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black ActionAdventureSci-Fi
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,ActionAdventureFantasySci-FiThriller,x-men: the last stand,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner ActionAdventureFantasySci-FiThriller
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,AdventureAnimationComedyFamilyFantasy,monsters university,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon AdventureAnimationComedyFamilyFantasy
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,ActionAdventureSci-Fi,transformers: revenge of the fallen,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay ActionAdventureSci-Fi
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,ActionAdventureSci-Fi,transformers: age of extinction,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay ActionAdventureSci-Fi
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,ActionAdventureFantasySci-Fi,the amazing spider-man 2,Emma Stone Andrew Garfield B.J. Novak Marc Webb ActionAdventureFantasySci-Fi
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,AdventureAnimationComedyFamilySport,cars 2,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter AdventureAnimationComedyFamilySport
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,ActionAdventureSci-Fi,green lantern,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell ActionAdventureSci-Fi
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,AdventureAnimationComedyFamilyFantasy,toy story 3,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich AdventureAnimationComedyFamilyFantasy
McG,Christian Bale,Bryce Dallas Howard,Common,ActionAdventureSci-Fi,terminator salvation,Christian Bale Bryce Dallas Howard Common McG ActionAdventureSci-Fi
James Wan,Jason Statham,Paul Walker,Vin Diesel,ActionCrimeThriller,furious 7,Jason Statham Paul Walker Vin Diesel James Wan ActionCrimeThriller
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,ActionAdventureHorrorSci-FiThriller,world war z,Peter Capaldi Brad Pitt Mireille Enos Marc Forster ActionAdventureHorrorSci-FiThriller
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,ActionAdventureFantasySci-FiThriller,x-men: days of future past,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer ActionAdventureFantasySci-FiThriller
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,ActionAdventureSci-Fi,star trek into darkness,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams ActionAdventureSci-Fi
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,AdventureFantasy,jack the giant slayer,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer AdventureFantasy
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,ActionAdventureFantasyRomance,prince of persia: the sands of time,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell ActionAdventureFantasyRomance
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,ActionAdventureSci-Fi,pacific rim,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro ActionAdventureSci-Fi
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,ActionAdventureSci-Fi,transformers: dark of the moon,Glenn Morshower Lester Speight Kevin Dunn Michael Bay ActionAdventureSci-Fi
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,ActionAdventureFantasy,indiana jones and the kingdom of the crystal skull,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg ActionAdventureFantasy
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,AdventureAnimationComedyFamilyFantasy,the good dinosaur,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn AdventureAnimationComedyFamilyFantasy
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,AdventureAnimationComedyFamilyFantasy,brave,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews AdventureAnimationComedyFamilyFantasy
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,ActionAdventureSci-FiThriller,star trek beyond,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin ActionAdventureSci-FiThriller
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,AdventureAnimationFamilySci-Fi,wall·e,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton AdventureAnimationFamilySci-Fi
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,ActionComedyCrimeThriller,rush hour 3,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner ActionComedyCrimeThriller
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,ActionAdventureSci-Fi,2012,Oliver Platt Liam James Tom McCarthy Roland Emmerich ActionAdventureSci-Fi
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,AnimationDramaFamilyFantasy,a christmas carol,Robin Wright Colin Firth Gary Oldman Robert Zemeckis AnimationDramaFamilyFantasy
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,ActionAdventureSci-Fi,jupiter ascending,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski ActionAdventureSci-Fi
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,AdventureFamilyFantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson AdventureFamilyFantasy
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,ActionAdventureSci-Fi,x-men: apocalypse,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer ActionAdventureSci-Fi
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,ActionCrimeDramaThriller,the dark knight,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan ActionCrimeDramaThriller
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,AdventureAnimationComedyFamily,up,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter AdventureAnimationComedyFamily
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,ActionAdventureAnimationComedyFamilySci-Fi,monsters vs. aliens,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman ActionAdventureAnimationComedyFamilySci-Fi
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,ActionAdventureSci-Fi,iron man,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau ActionAdventureSci-Fi
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,AdventureDramaFamilyMystery,hugo,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese AdventureDramaFamilyMystery
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,ActionComedySci-FiWestern,wild wild west,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld ActionComedySci-FiWestern
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,ActionAdventureFantasyHorrorThriller,the mummy: tomb of the dragon emperor,Jet Li Brendan Fraser Russell Wong Rob Cohen ActionAdventureFantasyHorrorThriller
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,ActionAdventureComedySci-Fi,suicide squad,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer ActionAdventureComedySci-Fi
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,ComedyFamilyFantasy,evan almighty,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac ComedyFamilyFantasy
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,ActionAdventureSci-Fi,edge of tomorrow,Tom Cruise Lara Pulver Noah Taylor Doug Liman ActionAdventureSci-Fi
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,ActionAdventureSci-FiThriller,waterworld,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds ActionAdventureSci-FiThriller
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,ActionAdventureSci-FiThriller,g.i. joe: the rise of cobra,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers ActionAdventureSci-FiThriller
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,AdventureAnimationComedyDramaFamilyFantasy,inside out,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter AdventureAnimationComedyDramaFamilyFantasy
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,ActionAdventureSci-Fi,iron man 2,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau ActionAdventureSci-Fi
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,ActionAdventureDramaFantasy,snow white and the huntsman,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders ActionAdventureDramaFantasy
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,ActionAdventureFamilyFantasyRomance,maleficent,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg ActionAdventureFamilyFantasyRomance
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,ActionAdventureDramaSci-Fi,dawn of the planet of the apes,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves ActionAdventureDramaSci-Fi
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,ActionAdventureDramaFantasy,47 ronin,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch ActionAdventureDramaFantasy
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,ActionAdventureSci-Fi,captain america: the winter soldier,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo ActionAdventureSci-Fi
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,AdventureAnimationComedyFamilyFantasy,shrek forever after,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell AdventureAnimationComedyFamilyFantasy
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,ActionAdventureFamilyMysterySci-Fi,tomorrowland,Judy Greer Chris Bauer Thomas Robinson Brad Bird ActionAdventureFamilyMysterySci-Fi
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,ActionAdventureAnimationComedyDramaFamilySci-Fi,big hero 6,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall ActionAdventureAnimationComedyDramaFamilySci-Fi
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,AdventureAnimationComedyFamilySci-Fi,wreck-it ralph,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore AdventureAnimationComedyFamilySci-Fi
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,AdventureAnimationFamilyFantasy,the polar express,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis AdventureAnimationFamilyFantasy
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,ActionAdventureSci-Fi,independence day: resurgence,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich ActionAdventureSci-Fi
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,AdventureAnimationFamilyFantasy,how to train your dragon,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois AdventureAnimationFamilyFantasy
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,ActionSci-Fi,terminator 3: rise of the machines,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow ActionSci-Fi
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,ActionAdventureSci-Fi,guardians of the galaxy,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn ActionAdventureSci-Fi
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,AdventureDramaSci-Fi,interstellar,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan AdventureDramaSci-Fi
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,ActionAdventureSci-FiThriller,inception,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan ActionAdventureSci-FiThriller
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,AdventureFantasy,the hobbit: an unexpected journey,Aidan Turner Adam Brown James Nesbitt Peter Jackson AdventureFantasy
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,DramaFantasyRomance,the curious case of benjamin button,Brad Pitt Jason Flemyng Julia Ormond David Fincher DramaFantasyRomance
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,ActionAdventureSci-Fi,x-men: first class,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn ActionAdventureSci-Fi
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,AdventureSci-Fi,the hunger games: mockingjay - part 2,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence AdventureSci-Fi
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,ActionAdventureFamilyFantasy,the sorcerer's apprentice,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub ActionAdventureFamilyFantasy
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,ActionAdventureDramaThriller,poseidon,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen ActionAdventureDramaThriller
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,AdventureFamilyFantasy,alice through the looking glass,Johnny Depp Alan Rickman Anne Hathaway James Bobin AdventureFamilyFantasy
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,AdventureAnimationComedyFamilyFantasy,shrek the third,Justin Timberlake Eric Idle Rupert Everett Chris Miller AdventureAnimationComedyFamilyFantasy
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,ActionAdventureFantasy,warcraft,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones ActionAdventureFantasy
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,ActionAdventureSci-Fi,terminator genisys,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor ActionAdventureSci-Fi
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,AdventureFamilyFantasy,the chronicles of narnia: the voyage of the dawn treader,Bruce Spence Shane Rangi Laura Brent Michael Apted AdventureFamilyFantasy
Michael Bay,Jennifer Garner,Jaime King,Mako,ActionDramaHistoryRomanceWar,pearl harbor,Jennifer Garner Jaime King Mako Michael Bay ActionDramaHistoryRomanceWar
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,ActionAdventureSci-Fi,transformers,Zack Ward Michael O'Neill Kevin Dunn Michael Bay ActionAdventureSci-Fi
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,ActionAdventureBiographyDramaHistoryRomanceWar,alexander,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone ActionAdventureBiographyDramaHistoryRomanceWar
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,AdventureFamilyFantasyMystery,harry potter and the order of the phoenix,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates AdventureFamilyFantasyMystery
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,AdventureFamilyFantasyMystery,harry potter and the goblet of fire,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell AdventureFamilyFantasyMystery
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,ActionDrama,hancock,Will Smith Charlize Theron Eddie Marsan Peter Berg ActionDrama
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,DramaHorrorSci-Fi,i am legend,Will Smith Alice Braga Willow Smith Francis Lawrence DramaHorrorSci-Fi
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,AdventureComedyFamilyFantasy,charlie and the chocolate factory,Johnny Depp Christopher Lee David Kelly Tim Burton AdventureComedyFamilyFantasy
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,AnimationComedyFamilyFantasy,ratatouille,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird AnimationComedyFamilyFantasy
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,ActionAdventure,batman begins,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan ActionAdventure
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,ActionAdventureAnimationComedyFamily,madagascar: escape 2 africa,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell ActionAdventureAnimationComedyFamily
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,AdventureComedyFamilyFantasy,night at the museum: battle of the smithsonian,Robin Williams Rami Malek Steve Coogan Shawn Levy AdventureComedyFamilyFantasy
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,ActionAdventureFantasySci-FiThriller,x-men origins: wolverine,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood ActionAdventureFantasySci-FiThriller
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,ActionSci-Fi,the matrix revolutions,Essie Davis Collin Chou Nona Gaye Lana Wachowski ActionSci-Fi
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,AdventureAnimationComedyFamilyFantasyMusical,frozen,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck AdventureAnimationComedyFamilyFantasyMusical
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,ActionSci-Fi,the matrix reloaded,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski ActionSci-Fi
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,ActionAdventureFantasy,thor: the dark world,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor ActionAdventureFantasy
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,ActionAdventureSci-FiThriller,mad max: fury road,Tom Hardy Charlize Theron Zoë Kravitz George Miller ActionAdventureSci-FiThriller
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,MysteryThriller,angels & demons,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard MysteryThriller
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,ActionAdventureFantasy,thor,Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh ActionAdventureFantasy
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,AdventureAnimationComedyDramaFamily,bolt,Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard AdventureAnimationComedyDramaFamily
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,ActionAdventureAnimationComedyFamilyFantasySci-Fi,g-force,Kelli Garner Piper Mackenzie Harris Niecy Nash Hoyt Yeatman ActionAdventureAnimationComedyFamilyFantasySci-Fi
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,ActionAdventureFantasy,wrath of the titans,Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman ActionAdventureFantasy
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,ComedyFantasyHorror,dark shadows,Johnny Depp Chloë Grace Moretz Christopher Lee Tim Burton ComedyFantasyHorror
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,ActionAdventureThriller,mission: impossible - rogue nation,Tom Cruise Jeremy Renner Sean Harris Christopher McQuarrie ActionAdventureThriller
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,DramaFantasyHorrorThriller,the wolfman,Anthony Hopkins Simon Merrells Art Malik Joe Johnston DramaFantasyHorrorThriller
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,ActionAdventureDramaRomance,the legend of tarzan,Christoph Waltz Alexander Skarsgård Casper Crump David Yates ActionAdventureDramaRomance
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,AdventureAnimationComedyFamily,bee movie,Matthew Broderick Oprah Winfrey Rip Torn Steve Hickner AdventureAnimationComedyFamily
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,ActionAdventureAnimationComedyFamily,kung fu panda 2,Angelina Jolie Pitt Gary Oldman Mike Bell Jennifer Yuh Nelson ActionAdventureAnimationComedyFamily
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,ActionAdventureFamilyFantasy,the last airbender,Seychelle Gabriel Noah Ringer Aasif Mandvi M. Night Shyamalan ActionAdventureFamilyFantasy
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,ActionAdventureThriller,mission: impossible iii,Philip Seymour Hoffman Tom Cruise Eddie Marsan J.J. Abrams ActionAdventureThriller
Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,ActionDramaThriller,white house down,Channing Tatum Jake Weber Matt Craven Roland Emmerich ActionDramaThriller
Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,ActionAdventureAnimationComedyFamilySci-Fi,mars needs moms,Elisabeth Harnois Dan Fogler Tom Everett Scott Simon Wells ActionAdventureAnimationComedyFamilySci-Fi
David Bowers,Hugh Jackman,Kate Winslet,David Suchet,AdventureAnimationComedyFamily,flushed away,Hugh Jackman Kate Winslet David Suchet David Bowers AdventureAnimationComedyFamily
Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,AdventureAnimationComedyFamilySci-Fi,mr. peabody & sherman,Ty Burrell Zach Callison Karan Brar Rob Minkoff AdventureAnimationComedyFamilySci-Fi
Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure,troy,Brad Pitt Orlando Bloom Julian Glover Wolfgang Petersen Adventure
Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,AdventureAnimationComedyFamily,madagascar 3: europe's most wanted,Jada Pinkett Smith Martin Short Cedric the Entertainer Eric Darnell AdventureAnimationComedyFamily
