director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,ActionAdventureFantasy,pirates of the caribbean: on stranger tides
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,ActionAdventureComedyFamilyFantasySci-Fi,men in black 3
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,AdventureFantasy,the hobbit: the battle of the five armies
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,ActionAdventureFantasy,the amazing spider-man
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,ActionAdventureDramaHistory,robin hood
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,AdventureFantasy,the hobbit: the desolation of smaug
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,AdventureFamilyFantasy,the golden compass
Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,ActionAdventureDramaRomance,king kong
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,DramaRomance,titanic
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,ActionAdventureSci-Fi,captain america: civil war
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,ActionAdventureSci-FiThriller,battleship
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,ActionAdventureSci-FiThriller,jurassic world
Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,ActionAdventureThriller,skyfall
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,ActionAdventureFantasyRomance,spider-man 2
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,ActionAdventureSci-Fi,iron man 3
Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,AdventureFamilyFantasy,alice in wonderland
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,ActionAdventureFantasySci-FiThriller,x-men: the last stand
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,AdventureAnimationComedyFamilyFantasy,monsters university
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,ActionAdventureSci-Fi,transformers: revenge of the fallen
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,ActionAdventureSci-Fi,transformers: age of extinction
Sam Raimi,Tim Holmes,Mila Kunis,James Franco,AdventureFamilyFantasy,oz the great and powerful
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,ActionAdventureFantasySci-Fi,the amazing spider-man 2
Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,ActionAdventureSci-Fi,tron: legacy
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,AdventureAnimationComedyFamilySport,cars 2
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,ActionAdventureSci-Fi,green lantern
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,AdventureAnimationComedyFamilyFantasy,toy story 3
McG,Christian Bale,Bryce Dallas Howard,Common,ActionAdventureSci-Fi,terminator salvation
James Wan,Jason Statham,Paul Walker,Vin Diesel,ActionCrimeThriller,furious 7
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,ActionAdventureHorrorSci-FiThriller,world war z
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,ActionAdventureFantasySci-FiThriller,x-men: days of future past
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,ActionAdventureSci-Fi,star trek into darkness
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,AdventureFantasy,jack the giant slayer
Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,DramaRomance,the great gatsby
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,ActionAdventureFantasyRomance,prince of persia: the sands of time
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,ActionAdventureSci-Fi,pacific rim
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,ActionAdventureSci-Fi,transformers: dark of the moon
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,ActionAdventureFantasy,indiana jones and the kingdom of the crystal skull
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,AdventureAnimationComedyFamilyFantasy,the good dinosaur
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,AdventureAnimationComedyFamilyFantasy,brave
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,ActionAdventureSci-FiThriller,star trek beyond
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,AdventureAnimationFamilySci-Fi,wall·e
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,ActionComedyCrimeThriller,rush hour 3
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,ActionAdventureSci-Fi,2012
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,AnimationDramaFamilyFantasy,a christmas carol
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,ActionAdventureSci-Fi,jupiter ascending
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,ActionAdventureDramaRomance,the legend of tarzan
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,AdventureFamilyFantasy,"the chronicles of narnia: the lion, the witch and the wardrobe"
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,ActionAdventureSci-Fi,x-men: apocalypse
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,ActionCrimeDramaThriller,the dark knight
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,AdventureAnimationComedyFamily,up
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,ActionAdventureAnimationComedyFamilySci-Fi,monsters vs. aliens
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,ActionAdventureSci-Fi,iron man
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,AdventureDramaFamilyMystery,hugo
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,ActionComedySci-FiWestern,wild wild west
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,ActionAdventureFantasyHorrorThriller,the mummy: tomb of the dragon emperor
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,ActionAdventureComedySci-Fi,suicide squad
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,ComedyFamilyFantasy,evan almighty
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,ActionAdventureSci-Fi,edge of tomorrow
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,ActionAdventureSci-FiThriller,waterworld
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,ActionAdventureSci-FiThriller,g.i. joe: the rise of cobra
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,AdventureAnimationComedyDramaFamilyFantasy,inside out
Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,AdventureDramaFamilyFantasy,the jungle book
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,ActionAdventureSci-Fi,iron man 2
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,ActionAdventureDramaFantasy,snow white and the huntsman
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,ActionAdventureFamilyFantasyRomance,maleficent
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,ActionAdventureDramaSci-Fi,dawn of the planet of the apes
Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,ActionAdventureRomanceSci-Fi,the lovers
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,ActionAdventureDramaFantasy,47 ronin
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,ActionAdventureSci-Fi,captain america: the winter soldier
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,AdventureAnimationComedyFamilyFantasy,shrek forever after
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,ActionAdventureFamilyMysterySci-Fi,tomorrowland
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,ActionAdventureAnimationComedyDramaFamilySci-Fi,big hero 6
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,AdventureAnimationComedyFamilySci-Fi,wreck-it ralph
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,AdventureAnimationFamilyFantasy,the polar express
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,ActionAdventureSci-Fi,independence day: resurgence
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,AdventureAnimationFamilyFantasy,how to train your dragon
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,ActionSci-Fi,terminator 3: rise of the machines
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,ActionAdventureSci-Fi,guardians of the galaxy
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,AdventureDramaSci-Fi,interstellar
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,ActionAdventureSci-FiThriller,inception
Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,ActionAdventureDramaHorrorSci-Fi,godzilla resurgence
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,AdventureFantasy,the hobbit: an unexpected journey
Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,ActionCrimeThriller,the fast and the furious
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,DramaFantasyRomance,the curious case of benjamin button
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,ActionAdventureSci-Fi,x-men: first class
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,AdventureSci-Fi,the hunger games: mockingjay - part 2
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,ActionAdventureFamilyFantasy,the sorcerer's apprentice
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,ActionAdventureDramaThriller,poseidon
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,AdventureFamilyFantasy,alice through the looking glass
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,AdventureAnimationComedyFamilyFantasy,shrek the third
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,ActionAdventureFantasy,warcraft
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,ActionAdventureSci-Fi,terminator genisys
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,AdventureFamilyFantasy,the chronicles of narnia: the voyage of the dawn treader
Michael Bay,Jennifer Garner,Jaime King,Mako,ActionDramaHistoryRomanceWar,pearl harbor
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,ActionAdventureSci-Fi,transformers
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,ActionAdventureBiographyDramaHistoryRomanceWar,alexander
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,AdventureFamilyFantasyMystery,harry potter and the order of the phoenix
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,AdventureFamilyFantasyMystery,harry potter and the goblet of fire
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,ActionDrama,hancock
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,DramaHorrorSci-Fi,i am legend
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,AdventureComedyFamilyFantasy,charlie and the chocolate factory
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,AnimationComedyFamilyFantasy,ratatouille
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,ActionAdventure,batman begins
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,ActionAdventureAnimationComedyFamily,madagascar: escape 2 africa
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,AdventureComedyFamilyFantasy,night at the museum: battle of the smithsonian
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,ActionAdventureFantasySci-FiThriller,x-men origins: wolverine
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,ActionSci-Fi,the matrix revolutions
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,AdventureAnimationComedyFamilyFantasyMusical,frozen
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,ActionSci-Fi,the matrix reloaded
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,ActionAdventureFantasy,thor: the dark world
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,ActionAdventureSci-FiThriller,mad max: fury road
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,MysteryThriller,angels & demons
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,ActionAdventureFantasy,thor
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,AdventureAnimationComedyDramaFamily,bolt
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,ActionAdventureAnimationComedyFamilyFantasySci-Fi,g-force
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,ActionAdventureFantasy,wrath of the titans
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,ComedyFantasyHorror,dark shadows
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,ActionAdventureThriller,mission: impossible - rogue nation
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,DramaFantasyHorrorThriller,the wolfman
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,ActionAdventureDramaRomance,the legend of tarzan
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,AdventureAnimationComedyFamily,bee movie
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,ActionAdventureAnimationComedyFamily,kung fu panda 2
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,ActionAdventureFamilyFantasy,the last airbender
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,ActionAdventureThriller,mission: impossible iii
Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,ActionDramaThriller,white house down
Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,ActionAdventureAnimationComedyFamilySci-Fi,mars needs moms
David Bowers,Hugh Jackman,Kate Winslet,David Suchet,AdventureAnimationComedyFamily,flushed away
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,AdventureFamilyFantasy,pan
Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,AdventureAnimationComedyFamilySci-Fi,mr. peabody & sherman
Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure,troy
Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,AdventureAnimationComedyFamily,madagascar 3: europe's most wanted
Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,ActionAdventureThriller,die another day
Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,ActionComedyFantasySci-Fi,ghostbusters
Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,ActionAdventureSci-FiThriller,armageddon
Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,ActionAdventureComedyFamilyFantasyMysterySci-Fi,men in black ii
Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,ActionAdventureAnimationFantasy,beowulf
Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,ActionAdventureAnimationComedyFamily,kung fu panda 3
Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,ActionAdventureThriller,mission: impossible - ghost protocol
Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,AdventureAnimationFamilyFantasy,rise of the guardians
Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,ComedyCrime,fun with dick and jane
Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,ActionDramaHistoryWar,the last samurai
Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,ActionAdventureDrama,exodus: gods and kings
J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,ActionAdventureSci-Fi,star trek
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,ActionAdventureFantasyRomance,spider-man
Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,ActionAdventureAnimationComedyFamilyFantasy,how to train your dragon 2
Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,ActionAdventureFantasy,gods of egypt
Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,ActionAdventureSci-FiThriller,stealth
Zack Snyder,Matt Frewer,Billy Crudup,Stephen McHattie,ActionDramaMysterySci-Fi,watchmen
Richard Donner,Jet Li,Rene Russo,Darlene Love,ActionCrimeThriller,lethal weapon 4
Ang Lee,Kevin Rankin,Regi Davis,Celia Weston,ActionSci-Fi,hulk
Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,ActionAdventureSci-FiThriller,g.i. joe: retaliation
Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo,ActionAdventureComedyThriller,sahara
Hironobu Sakaguchi,Steve Buscemi,Ming-Na Wen,Jean Simmons,ActionAdventureAnimationFantasyRomanceSci-Fi,final fantasy: the spirits within
Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell,ActionAdventureSci-Fi,captain america: the first avenger
Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,ActionAdventureThriller,the world is not enough
Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,ActionAdventureDramaHistoryWar,master and commander: the far side of the world
Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,AdventureDramaFantasyRomance,the twilight saga: breaking dawn - part 2
George Miller,Robin Williams,Brad Pitt,Common,AnimationComedyFamilyMusical,happy feet 2
Louis Leterrier,Ty Burrell,Peter Mensah,William Hurt,ActionAdventureSci-Fi,the incredible hulk
unknown,Don Johnson,Philip Michael Thomas,John Diehl,ActionCrimeDramaMysteryThriller,miami vice            
Steven Spielberg,Mark Rylance,Penelope Wilton,Rafe Spall,AdventureFamilyFantasy,the bfg
Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,AdventureDramaThrillerWestern,the revenant
David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,AdventureAnimationComedyFamilySport,turbo
Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,AdventureAnimationComedyFamilyWestern,rango
Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,AdventureAnimationComedyFamily,penguins of madagascar
Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,ActionMysteryThriller,the bourne ultimatum
Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,ActionAdventureAnimationComedyFamily,kung fu panda
Peyton Reed,Judy Greer,Hayley Atwell,T.I.,ActionAdventureComedySci-Fi,ant-man
Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,AdventureSci-FiThriller,the hunger games: catching fire
Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,AdventureDramaFantasyRomance,the twilight saga: breaking dawn - part 2
Tim Johnson,Jim Parsons,Matt Jones,April Winchell,AdventureAnimationComedyFamilyFantasySci-Fi,home
Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,AdventureSci-FiThriller,war of the worlds
Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,ActionComedyCrimeThriller,bad boys ii
Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,ActionAdventureAnimationComedyFamilyFantasy,puss in boots
Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,ActionCrimeMysteryThriller,salt
Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,ActionAdventureDrama,noah
Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,ActionAdventureFamilyMystery,the adventures of tintin
Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,AdventureFamilyFantasyMystery,harry potter and the prisoner of azkaban
Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,AdventureDramaRomanceWar,australia
M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower,ActionAdventureSci-Fi,after earth
Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,AdventureAnimationFamilyThriller,dinosaur
Matt Birch,Rupert Grint,Dave Legeno,Ralph Ineson,ActionFantasy,harry potter and the deathly hallows: part ii
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,AdventureComedyFamilyFantasy,night at the museum: secret of the tomb
Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,ActionAnimationComedyFamilySci-Fi,megamind
Chris Columbus,Daniel Radcliffe,Fiona Shaw,Verne Troyer,AdventureFamilyFantasy,harry potter and the sorcerer's stone
Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,ActionComedyFantasy,r.i.p.d.
Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,ActionAdventureDramaHorrorSci-Fi,godzilla resurgence
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,ActionAdventureFantasy,pirates of the caribbean: the curse of the black pearl
Matt Birch,Rupert Grint,Toby Jones,Alfred Enoch,Fantasy,harry potter and the deathly hallows: part i
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,AdventureSci-FiThriller,the hunger games: mockingjay - part 1
Ron Howard,Tom Hanks,Seth Gabel,Jürgen Prochnow,MysteryThriller,the da vinci code
Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,AdventureAnimationComedyFamilyMusical,rio 2
Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,ActionAdventureFantasySci-FiThriller,x-men 2
Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,ActionCrimeThriller,fast five
Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,ActionAdventureCrimeMysteryThriller,sherlock holmes: a game of shadows
Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,ActionAdventureFantasy,clash of the titans
Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,ActionSci-Fi,total recall
John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,ActionAdventureHistory,the 13th warrior
Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,ActionAdventureThriller,the bourne legacy
Joel Schumacher,Michael Gough,Vivica A. Fox,John Glover,Action,batman & robin
Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,ComedyFamilyFantasy,how the grinch stole christmas
Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,ActionAdventureSci-FiThriller,the day after tomorrow
John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,ActionAdventureThriller,mission: impossible ii
Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,ActionAdventureDramaThriller,the perfect storm
Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher,ActionAdventureSci-FiThriller,fantastic 4: rise of the silver surfer
Ang Lee,Suraj Sharma,Rafe Spall,Tabu,AdventureDramaFantasy,life of pi
Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda,ActionFantasyThriller,ghost rider
Paul Greengrass,Matt Damon,Riz Ahmed,Ato Essandoh,ActionThriller,jason bourne
McG,Demi Moore,Bernie Mac,Justin Theroux,ActionAdventureComedyCrime,charlie's angels: full throttle
Ridley Scott,Michael Fassbender,Charlize Theron,Sean Harris,AdventureMysterySci-Fi,prometheus
Rob Minkoff,Nathan Lane,Brad Garrett,Melanie Griffith,AdventureAnimationComedyFamilyFantasy,stuart little 2
Neill Blomkamp,Matt Damon,Sharlto Copley,Alice Braga,ActionDramaSci-FiThriller,elysium
David Twohy,Vin Diesel,Alexa Davalos,Christina Cox,ActionAdventureSci-FiThriller,the chronicles of riddick
José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,ActionCrimeSci-FiThriller,robocop
Lana Wachowski,Scott Porter,Kick Gurry,Nicholas Elia,ActionFamilySport,speed racer
James L. Brooks,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,ComedyDramaRomance,how do you know
James Mangold,Tom Cruise,Marc Blucas,Jordi Mollà,ActionComedyRomance,knight and day
Joseph Kosinski,Morgan Freeman,Tom Cruise,Zoë Bell,ActionAdventureMysterySci-Fi,oblivion
George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,ActionAdventureFantasySci-Fi,star wars: episode iii - revenge of the sith
George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,ActionAdventureFantasySci-Fi,star wars: episode ii - attack of the clones
Pete Docter,Steve Buscemi,John Ratzenberger,James Coburn,AdventureAnimationComedyFamilyFantasy,"monsters, inc."
James Mangold,Hugh Jackman,Tao Okamoto,Rila Fukushima,ActionAdventureSci-FiThriller,the wolverine
George Lucas,Natalie Portman,Liam Neeson,Ian McDiarmid,ActionAdventureFantasySci-Fi,star wars: episode i - the phantom menace
Kirk De Micco,Ryan Reynolds,Emma Stone,Nicolas Cage,AdventureAnimationComedyFamilyFantasy,the croods
Frédéric Forestier,Alain Delon,Santiago Segura,Vanessa Hessler,AdventureComedyFamilyFantasy,asterix at the olympic games
John Woo,Nicolas Cage,Roger Willie,Noah Emmerich,ActionDramaWar,windtalkers
